Name,RA,DEC,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13
QSO B0506-612,76.683286,-61.161387,4,4,4,4,4,4,4,4,4,4,4,4,4
3FGL J0543.9-5531,85.986708,-55.534417,4,4,4,4,4,4,4,4,4,4,4,4,4
3FGL J0635.7-7517,98.943783,-75.271338,4,4,4,4,4,4,4,4,4,4,4,4,4
3FGL J0700.6-6610,105.130222,-66.179231,4,4,4,4,4,0,4,4,4,4,4,4,4
3FGL J0730.5-6606,112.706496,-66.038577,4,4,4,4,4,4,4,4,4,4,4,4,4
3FGL J0433.7-6028,68.392118,-60.503825,4,4,4,4,4,4,4,4,4,4,4,4,4
PMN J0658-5840,104.557412,-58.674324,0,4,4,4,4,4,4,4,4,4,0,4,4
3FGL J0444.6-6012,71.256167,-60.250167,4,4,4,4,4,4,4,4,4,4,4,4,4
3FGL J0353.0-6831,58.237542,-68.521833,4,3,4,4,0,4,4,4,4,4,4,0,4
3FGL J0506.9-5435,76.740458,-54.582917,0,0,4,3,3,4,0,0,0,4,0,0,4
WISE J034320.52-644256.0,55.834875,-64.715583,4,3,3,4,0,0,4,0,0,0,4,0,0
3FGL J0331.3-6155,52.827333,-61.924167,3,3,3,3,0,0,0,0,0,0,0,0,0
3FGL J0647.0-5134,101.79075,-51.597,0,4,0,0,0,3,3,3,0,0,0,4,0
3FGL J0425.0-5331,66.267805,-53.53285,0,0,3,3,3,0,0,0,0,0,0,0,0
3FGL J0455.7-4617,73.961552,-46.2663,0,0,0,3,3,0,0,0,0,0,0,0,0
3FGL J0357.1-4957,59.250542,-49.93075,0,0,3,3,0,0,0,0,0,0,0,0,0
1RXS J095812.8-675241,149.554125,-67.878806,0,0,0,0,0,0,0,0,0,3,3,0,0
3FGL J0244.8-5818,41.168292,-58.33175,0,3,3,0,0,0,0,0,0,0,0,0,0
PMN J0829-5856,127.379875,-58.933528,0,0,0,0,0,0,0,3,3,3,0,0,0
3FGL J0515.3-4557,78.938542,-45.945333,0,0,0,3,3,3,0,0,0,0,0,0,0
3FGL J0525.3-4558,81.380834,-45.96519,0,0,0,3,3,3,0,0,0,0,0,0,0
3FGL J0538.8-4405,84.70984,-44.085816,0,0,0,0,3,3,0,0,0,0,0,0,0
3FGL J0449.4-4350,72.352909,-43.835823,0,0,0,3,3,0,0,0,0,0,0,0,0
PMN J0325-5635,51.348025,-56.595738,0,3,3,3,0,0,0,0,0,0,0,0,0
3FGL J0519.2-4542,79.957181,-45.778848,0,0,0,3,3,3,0,0,0,0,0,0,0
PMN J0231-5755,37.788458,-57.918389,0,3,0,0,0,0,0,0,0,0,0,0,0
3FGL J0606.4-4729,91.64889,-47.498568,0,0,0,0,3,0,3,0,0,0,0,0,0
3FGL J2235.3-4835,338.805152,-48.599665,2,0,0,0,0,0,0,0,0,0,0,0,0
